CUSTOMER_ID,propensity_score,Strategy
MF00665458,2.5062247e-06,Reminder
UK00633167,2.5260013e-06,Reminder
XY00375868,2.5437766e-06,Reminder
UA00297003,2.5749753e-06,Reminder
WB00396524,2.6345476e-06,Reminder
EP00449173,2.6992996e-06,Reminder
UP00369792,2.6992996e-06,Reminder
EP00449173,2.6992996e-06,Reminder
UP00369792,2.6992996e-06,Reminder
XY00293773,2.774079e-06,Reminder
XY00293773,2.774079e-06,Reminder
KA00275297,2.8490401e-06,Reminder
BJ00631343,2.8530164e-06,Reminder
DG00280623,2.8754255e-06,Reminder
DG00280623,2.8754255e-06,Reminder
TR00345586,2.878516e-06,Reminder
KE00757076,2.8848438e-06,Reminder
TU00301443,2.8848438e-06,Reminder
NC00696718,2.8848438e-06,Reminder
KE00757076,2.884844e-06,Reminder
NC00696718,2.884844e-06,Reminder
RL00742984,2.8896814e-06,Reminder
GR00329209,2.910577e-06,Reminder
GR00329209,2.9105772e-06,Reminder
OJ00563440,2.9432624e-06,Reminder
OJ00563440,2.9432626e-06,Reminder
PS00363316,2.9477592e-06,Reminder
OJ00476756,2.9654693e-06,Reminder
OJ00476756,2.9654693e-06,Reminder
YH00745268,2.9654693e-06,Reminder
NT00808676,2.988341e-06,Reminder
TG00430803,2.988341e-06,Reminder
BE00333546,2.988341e-06,Reminder
QC00641787,2.988341e-06,Reminder
QC00641787,2.988341e-06,Reminder
BC00902875,2.988341e-06,Reminder
BE00333546,2.988341e-06,Reminder
NT00808676,2.988341e-06,Reminder
IP00875691,3.0732904e-06,Reminder
RE00384393,3.093273e-06,Reminder
GX00429658,3.161045e-06,Reminder
TC00398655,3.2197731e-06,Reminder
TC00398655,3.2197731e-06,Reminder
DG00413366,3.2639987e-06,Reminder
DG00413366,3.263999e-06,Reminder
TU00301443,3.2991447e-06,Reminder
IM00363251,3.3102526e-06,Reminder
DE00849218,3.3102526e-06,Reminder
IM00363251,3.3102526e-06,Reminder
FC00870363,3.3102526e-06,Reminder
FC00870363,3.3102526e-06,Reminder
XC00811588,3.3102526e-06,Reminder
JG00282724,3.312667e-06,Reminder
UG00729375,3.333188e-06,Reminder
UG00729375,3.3331883e-06,Reminder
LF00379536,3.46929e-06,Reminder
EC00357266,3.4733062e-06,Reminder
CL00801239,3.4763361e-06,Reminder
XT00763835,3.4763675e-06,Reminder
FO00541005,3.5115863e-06,Reminder
WN00741860,3.5446665e-06,Reminder
YA00848223,3.6299425e-06,Reminder
EL00368782,3.6299425e-06,Reminder
YA00848223,3.6299425e-06,Reminder
AV00741423,3.6299425e-06,Reminder
AV00741423,3.6299425e-06,Reminder
EL00368782,3.6299425e-06,Reminder
NI00364261,3.6542845e-06,Reminder
NI00364261,3.6542847e-06,Reminder
BC00902875,3.6694255e-06,Reminder
XW00753434,3.7435827e-06,Reminder
XW00753434,3.8617827e-06,Reminder
LY00663698,3.9293914e-06,Reminder
LT00264587,3.9613187e-06,Reminder
IP00875691,3.9613187e-06,Reminder
BN00346200,3.9613187e-06,Reminder
SK00678244,3.9613187e-06,Reminder
SH00690848,3.9613187e-06,Reminder
JC00872951,3.9613187e-06,Reminder
OP00311811,3.9613187e-06,Reminder
SR00826897,3.9613187e-06,Reminder
IC00802270,3.9613187e-06,Reminder
FN00745145,3.9613187e-06,Reminder
OP00311811,3.9613187e-06,Reminder
CK00333071,3.9613187e-06,Reminder
SR00826897,3.9613187e-06,Reminder
FE00274085,3.9613187e-06,Reminder
BJ00809118,3.9613187e-06,Reminder
FD00877520,3.9613187e-06,Reminder
JC00872951,3.9613187e-06,Reminder
WT00775359,3.9613187e-06,Reminder
CK00333071,3.9613187e-06,Reminder
WT00775359,3.9613187e-06,Reminder
CR00793379,3.9613187e-06,Reminder
SH00690848,3.9613187e-06,Reminder
IF00469768,3.9613187e-06,Reminder
KV00384303,3.9613187e-06,Reminder
BJ00809118,3.9613187e-06,Reminder
OR00867651,3.9613187e-06,Reminder
IC00802270,3.9613187e-06,Reminder
FE00274085,3.9613187e-06,Reminder
TI00705168,3.9613187e-06,Reminder
KV00384303,3.9613187e-06,Reminder
BN00346200,3.9613187e-06,Reminder
IF00469768,3.9613187e-06,Reminder
OY00706632,3.9613187e-06,Reminder
OR00867651,3.9613187e-06,Reminder
SK00678244,3.9613187e-06,Reminder
CR00793379,3.9613187e-06,Reminder
MW00451442,3.9613187e-06,Reminder
FD00877520,3.9613187e-06,Reminder
RL00742984,3.9999486e-06,Reminder
PJ00836220,4.0590767e-06,Reminder
BZ00674005,4.137584e-06,Reminder
XM00870866,4.137584e-06,Reminder
XM00870866,4.137584e-06,Reminder
CO00650146,4.158079e-06,Reminder
EH00339864,4.2144356e-06,Reminder
PJ00836220,4.2280435e-06,Reminder
EX00908487,4.2607667e-06,Reminder
UX00554936,4.3704977e-06,Reminder
CR00637028,4.383203e-06,Reminder
SQ00741410,4.3894456e-06,Reminder
SQ00741410,4.3894456e-06,Reminder
WD01122593,4.3894456e-06,Reminder
QF00664283,4.555742e-06,Reminder
QF00664283,4.555742e-06,Reminder
WD01122593,4.5734664e-06,Reminder
IS00461205,4.584188e-06,Reminder
HL00306526,4.6787122e-06,Reminder
XW00842634,4.678796e-06,Reminder
FJ00366553,4.7392455e-06,Reminder
SI00468847,4.8291454e-06,Reminder
MR00938741,4.9530145e-06,Reminder
PG00772052,5.0698095e-06,Reminder
FL00706620,5.098974e-06,Reminder
RW00420145,5.1239463e-06,Reminder
RW00420145,5.1239463e-06,Reminder
XS00779884,5.125529e-06,Reminder
BZ00674005,5.125529e-06,Reminder
XS00779884,5.125529e-06,Reminder
RZ00475648,5.125529e-06,Reminder
RZ00475648,5.125529e-06,Reminder
SI00468847,5.125529e-06,Reminder
VM00667896,5.125529e-06,Reminder
VM00667896,5.125529e-06,Reminder
BU00473539,5.125529e-06,Reminder
BU00473539,5.125529e-06,Reminder
AE01128295,5.125529e-06,Reminder
OL00956872,5.30045e-06,Reminder
EH00745932,5.458089e-06,Reminder
EH00745932,5.458089e-06,Reminder
RA00629958,5.485486e-06,Reminder
RA00629958,5.485486e-06,Reminder
PG00772052,5.680487e-06,Reminder
GT00442100,5.799199e-06,Reminder
LU00905187,5.85757e-06,Reminder
FP01111205,6.298016e-06,Reminder
YV00305299,6.456904e-06,Reminder
RQ00582374,6.507996e-06,Reminder
IJ00846377,6.5878803e-06,Reminder
IJ00846377,6.5878808e-06,Reminder
LA00929086,6.700323e-06,Reminder
GD00440284,6.7510896e-06,Reminder
GD00440284,6.7510896e-06,Reminder
GO00428809,6.8424233e-06,Reminder
UA00343172,6.8862964e-06,Reminder
UA00343172,6.886297e-06,Reminder
SD00900377,6.9155462e-06,Reminder
FR00628891,7.010442e-06,Reminder
NN00284498,7.028729e-06,Reminder
OX00452254,7.0744345e-06,Reminder
PS00363316,7.074435e-06,Reminder
QP00310388,7.151428e-06,Reminder
HX00336351,7.151428e-06,Reminder
HX00336351,7.1514282e-06,Reminder
QP00310388,7.1514282e-06,Reminder
OX00452254,7.155755e-06,Reminder
HL00306526,7.51434e-06,Reminder
WF00418227,7.533076e-06,Reminder
LX00454867,7.533076e-06,Reminder
QB00778463,7.533076e-06,Reminder
SD00900377,7.5330763e-06,Reminder
WF00418227,7.5330763e-06,Reminder
LX00454867,7.5330763e-06,Reminder
QB00778463,7.5330763e-06,Reminder
FP01111205,7.5330763e-06,Reminder
LA00929086,8.46833e-06,Reminder
JE00398769,8.564766e-06,Reminder
BL00709888,8.61012e-06,Reminder
CU00865165,8.807858e-06,Reminder
WN00741860,9.009082e-06,Reminder
PG00324202,9.023299e-06,Reminder
FR00628891,9.168185e-06,Reminder
QC00377861,9.187219e-06,Reminder
OL00790075,9.3969065e-06,Reminder
KI00365606,9.419984e-06,Reminder
SY00362666,9.493678e-06,Reminder
PG00324202,9.932528e-06,Reminder
HK00924994,9.99683e-06,Reminder
KZ00376762,1.0175379e-05,Reminder
